POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,SELL_COOLDOWN_BARS,MACD_SELL_RSI_MIN,MOMENTUM_FILTER_ENABLED,MOMENTUM_LOOKBACK,MOMENTUM_MIN_PCT,DEATH_CROSS_CONFIRM,PROFIT_PROTECT_ENABLED,PROFIT_PROTECT_PCT,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
0.95,0.35,0.3,0.15,3,90,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.95,0.35,0.3,0.15,3,85,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.95,0.35,0.15,0.15,3,90,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.9,0.35,0.3,0.15,3,85,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.9,0.35,0.2,0.15,3,95,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.9,0.35,0.2,0.15,3,85,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.95,0.35,0.15,0.15,3,85,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.95,0.35,0.2,0.15,3,85,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.95,0.35,0.15,0.15,3,95,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.85,0.35,0.15,0.15,3,85,True,5,-0.15,1,False,0.05,0.6177573531962,0.24994589032855363,-0.09771582597276335,1.1221044405310374,170,0.5483870967741935,1617757.3531962
0.85,0.35,0.15,0.15,3,95,True,5,-0.15,1,False,0.05,0.6177573531962,0.24994589032855363,-0.09771582597276335,1.1221044405310374,170,0.5483870967741935,1617757.3531962
