MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,MAX_DRAWDOWN_LIMIT,PARTIAL_PROFIT_ENABLED,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
10,20,0,0.7,0.5,0.1,0.15,0.3,False,0.5197008595152004,0.2142188281356785,-0.13482970028480978,0.987282911011582,186,0.504950495049505,1519700.8595152004
10,20,0,0.7,0.5,0.1,0.15,0.5,False,0.5197008595152004,0.2142188281356785,-0.13482970028480978,0.987282911011582,186,0.504950495049505,1519700.8595152004
10,20,0,0.7,0.5,0.2,0.5,0.5,False,0.511599187742799,0.2112123806430215,-0.13136494984943273,0.9453640612471443,184,0.51,1511599.187742799
10,20,0,0.7,0.5,0.2,0.25,0.5,False,0.511599187742799,0.2112123806430215,-0.13136494984943273,0.9453640612471443,184,0.51,1511599.187742799
10,20,0,0.7,0.5,0.2,0.25,0.3,False,0.511599187742799,0.2112123806430215,-0.13136494984943273,0.9453640612471443,184,0.51,1511599.187742799
10,20,0,0.7,0.5,0.2,0.5,0.3,False,0.511599187742799,0.2112123806430215,-0.13136494984943273,0.9453640612471443,184,0.51,1511599.187742799
10,20,0,0.7,0.5,0.1,0.5,0.5,False,0.508340504267799,0.21000068044046438,-0.13380426929167957,0.9727085139360799,186,0.49504950495049505,1508340.504267799
10,20,0,0.7,0.5,0.1,0.25,0.5,False,0.508340504267799,0.21000068044046438,-0.13380426929167957,0.9727085139360799,186,0.49504950495049505,1508340.504267799
10,20,0,0.7,0.5,0.1,0.25,0.3,False,0.508340504267799,0.21000068044046438,-0.13380426929167957,0.9727085139360799,186,0.49504950495049505,1508340.504267799
10,20,0,0.7,0.5,0.1,0.5,0.3,False,0.508340504267799,0.21000068044046438,-0.13380426929167957,0.9727085139360799,186,0.49504950495049505,1508340.504267799
5,30,0,0.7,0.35,0.1,0.15,0.3,False,0.4922262442772002,0.2039880609041267,-0.11971226118451428,0.9085561206087961,172,0.5638297872340425,1492226.2442772002
5,30,0,0.7,0.35,0.1,0.15,0.5,False,0.4922262442772002,0.2039880609041267,-0.11971226118451428,0.9085561206087961,172,0.5638297872340425,1492226.2442772002
5,30,0,0.7,0.35,0.2,0.25,0.3,False,0.4874620429816004,0.20220376064736323,-0.1226505181699992,0.9125038848162641,166,0.5714285714285714,1487462.0429816004
5,30,0,0.7,0.35,0.2,0.5,0.5,False,0.4874620429816004,0.20220376064736323,-0.1226505181699992,0.9125038848162641,166,0.5714285714285714,1487462.0429816004
5,30,0,0.7,0.35,0.2,0.5,0.3,False,0.4874620429816004,0.20220376064736323,-0.1226505181699992,0.9125038848162641,166,0.5714285714285714,1487462.0429816004
5,30,0,0.7,0.35,0.2,0.25,0.5,False,0.4874620429816004,0.20220376064736323,-0.1226505181699992,0.9125038848162641,166,0.5714285714285714,1487462.0429816004
5,30,0,0.7,0.5,0.2,0.15,0.5,False,0.48534273490240054,0.20140904749083388,-0.14668323521762794,0.8601820375026515,164,0.5666666666666667,1485342.7349024005
5,30,0,0.7,0.5,0.2,0.15,0.3,False,0.48534273490240054,0.20140904749083388,-0.14668323521762794,0.8601820375026515,164,0.5666666666666667,1485342.7349024005
5,30,0,0.7,0.35,0.2,0.15,0.5,True,0.48382603798600005,0.200839932403726,-0.09846198234041748,1.0294679583893658,270,0.7348066298342542,1483826.037986
5,30,0,0.7,0.35,0.2,0.15,0.3,True,0.48382603798600005,0.200839932403726,-0.09846198234041748,1.0294679583893658,270,0.7348066298342542,1483826.037986
10,20,0,0.9,0.5,0.1,0.25,0.3,False,0.4822294984939997,0.2002405206365172,-0.1163487222152287,0.9100082458057106,155,0.5517241379310345,1482229.4984939997
10,20,0,0.9,0.5,0.1,0.5,0.5,False,0.4822294984939997,0.2002405206365172,-0.1163487222152287,0.9100082458057106,155,0.5517241379310345,1482229.4984939997
10,20,0,0.9,0.5,0.1,0.5,0.3,False,0.4822294984939997,0.2002405206365172,-0.1163487222152287,0.9100082458057106,155,0.5517241379310345,1482229.4984939997
10,20,0,0.9,0.5,0.1,0.25,0.5,False,0.4822294984939997,0.2002405206365172,-0.1163487222152287,0.9100082458057106,155,0.5517241379310345,1482229.4984939997
10,30,0,0.9,0.35,0.2,0.15,0.3,True,0.47946028798859985,0.1992000145484325,-0.09534443779579489,0.969856729096967,221,0.7432432432432432,1479460.2879885999
10,30,0,0.9,0.35,0.2,0.15,0.5,True,0.47946028798859985,0.1992000145484325,-0.09534443779579489,0.969856729096967,221,0.7432432432432432,1479460.2879885999
5,30,30,0.9,0.5,0.1,0.5,0.3,False,0.4780059396814003,0.19865313790157635,-0.1934026852032766,0.7348092496547092,104,0.4909090909090909,1478005.9396814003
5,30,30,0.9,0.5,0.2,0.5,0.3,False,0.4780059396814003,0.19865313790157635,-0.1934026852032766,0.7348092496547092,104,0.4909090909090909,1478005.9396814003
5,30,30,0.9,0.5,0.1,0.25,0.3,False,0.4780059396814003,0.19865313790157635,-0.1934026852032766,0.7348092496547092,104,0.4909090909090909,1478005.9396814003
5,30,30,0.9,0.5,0.1,0.5,0.5,False,0.4780059396814003,0.19865313790157635,-0.1934026852032766,0.7348092496547092,104,0.4909090909090909,1478005.9396814003
5,30,30,0.9,0.5,0.2,0.5,0.5,False,0.4780059396814003,0.19865313790157635,-0.1934026852032766,0.7348092496547092,104,0.4909090909090909,1478005.9396814003
5,30,30,0.9,0.5,0.2,0.25,0.3,False,0.4780059396814003,0.19865313790157635,-0.1934026852032766,0.7348092496547092,104,0.4909090909090909,1478005.9396814003
5,30,30,0.9,0.5,0.2,0.25,0.5,False,0.4780059396814003,0.19865313790157635,-0.1934026852032766,0.7348092496547092,104,0.4909090909090909,1478005.9396814003
5,30,30,0.9,0.5,0.1,0.25,0.5,False,0.4780059396814003,0.19865313790157635,-0.1934026852032766,0.7348092496547092,104,0.4909090909090909,1478005.9396814003
10,20,0,0.9,0.5,0.2,0.15,0.3,False,0.47353551417959994,0.19697032076986476,-0.11929613413414197,0.8811489398925998,151,0.5529411764705883,1473535.5141796
10,20,0,0.9,0.5,0.2,0.15,0.5,False,0.47353551417959994,0.19697032076986476,-0.11929613413414197,0.8811489398925998,151,0.5529411764705883,1473535.5141796
10,20,0,0.7,0.35,0.1,0.25,0.5,False,0.4728577496078,0.1967149487356441,-0.11082628467701426,0.9069246883887351,207,0.49107142857142855,1472857.7496078
10,20,0,0.7,0.35,0.1,0.25,0.3,False,0.4728577496078,0.1967149487356441,-0.11082628467701426,0.9069246883887351,207,0.49107142857142855,1472857.7496078
10,20,0,0.7,0.35,0.1,0.5,0.5,False,0.4728577496078,0.1967149487356441,-0.11082628467701426,0.9069246883887351,207,0.49107142857142855,1472857.7496078
10,20,0,0.7,0.35,0.1,0.5,0.3,False,0.4728577496078,0.1967149487356441,-0.11082628467701426,0.9069246883887351,207,0.49107142857142855,1472857.7496078
5,30,0,0.7,0.5,0.1,0.15,0.5,False,0.4726861040622001,0.19665026514030215,-0.1442049840953008,0.838902548056263,166,0.5714285714285714,1472686.1040622
5,30,0,0.7,0.5,0.1,0.15,0.3,False,0.4726861040622001,0.19665026514030215,-0.1442049840953008,0.838902548056263,166,0.5714285714285714,1472686.1040622
10,20,0,0.9,0.35,0.1,0.15,0.5,False,0.4711170409105995,0.19605878561558665,-0.15826710083781761,0.9067521742146911,176,0.49473684210526314,1471117.0409105995
10,20,0,0.9,0.35,0.1,0.15,0.3,False,0.4711170409105995,0.19605878561558665,-0.15826710083781761,0.9067521742146911,176,0.49473684210526314,1471117.0409105995
