total_return,annual_return,max_drawdown,sharpe,calmar,win_rate,trades,MA_TREND,STOP_LOSS_PCT,TRAILING_STOP_PCT,MAX_DRAWDOWN_LIMIT,PROFIT_TARGET_1,PROFIT_TARGET_2,PROFIT_TARGET_3,RSI_OVERBOUGHT,MACD_SELL_RSI_MIN,MACD_BUY_ENABLED,SELL_COOLDOWN_BARS,MA_FAST,MA_SLOW,POSITION_PCT,MAX_POSITION_PCT,MAX_TOTAL_POS_PCT,MIN_CASH_RESERVE
-21.553524063979975,-5.680779832505278,-35.19968824909729,-0.558986664316253,-0.1613872200317275,61.81818181818181,506,30,0.08,0.08,0.25,0.08,0.1,0.25,80,65,False,2,10,20,0.6,0.4,0.95,0.05
-21.556006156120052,-5.681498834523158,-31.61374298499006,-0.5279661040275836,-0.17971610755552372,52.400000000000006,424,0,0.05,0.12,0.25,0.08,0.15,0.18,90,55,False,2,10,20,0.6,0.4,0.95,0.05
-21.561950268560032,-5.683220770230168,-33.41469612268041,-0.5122187977809955,-0.17008147401264712,54.18326693227091,412,30,0.08,0.1,0.15,0.08,0.1,0.22,90,75,False,5,10,20,0.6,0.4,0.95,0.05
-21.577558240800094,-5.687742677915786,-36.92855575209749,-0.5374806990227184,-0.1540201765836112,53.46153846153846,430,0,0.08,0.08,0.25,0.08,0.12,0.18,90,65,False,3,10,20,0.6,0.4,0.95,0.05
-21.579163252199976,-5.688207717054706,-37.72309934379876,-0.5600483515838385,-0.15078845100223134,63.28358208955224,505,30,0.05,0.1,0.15,0.06,0.1,0.18,80,65,False,3,10,20,0.6,0.4,0.95,0.05
-21.584164734200062,-5.689656902557516,-35.766051067366554,-0.5327123302378768,-0.1590798182287683,54.961832061068705,428,0,0.05,0.08,0.15,0.08,0.1,0.18,90,75,False,5,10,20,0.6,0.4,0.95,0.05
-21.58874455910006,-5.690983973942143,-28.813584488029175,-0.5748542664759615,-0.1975104477648904,63.19218241042345,475,0,0.05,0.1,0.2,0.08,0.1,0.22,80,55,False,5,10,20,0.6,0.4,0.95,0.05
-21.59914037832008,-5.693996533288614,-36.40911325070809,-0.5325321870824745,-0.1563893219282916,56.949152542372886,469,30,0.05,0.08,0.2,0.06,0.12,0.22,85,65,False,2,10,20,0.6,0.4,0.95,0.05
-21.617045240039985,-5.699185816408569,-36.776324879260955,-0.5379892648752026,-0.15496887835093265,62.5748502994012,506,0,0.05,0.12,0.25,0.06,0.1,0.22,80,75,False,2,10,20,0.6,0.4,0.95,0.05
-21.62705335912006,-5.702086815243712,-35.781276905629234,-0.5191500041122701,-0.15935951168770726,56.15942028985508,444,0,0.07,0.12,0.15,0.04,0.15,0.18,90,65,False,5,10,20,0.6,0.4,0.95,0.05
