MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,MAX_DRAWDOWN_LIMIT,PARTIAL_PROFIT_ENABLED,MACD_BUY_ENABLED,SELL_COOLDOWN_BARS,MACD_SELL_RSI_MIN,total_return,annual_return,max_drawdown,sharpe,trades,win_rate
10,20,0,0.85,0.35,0.3,0.15,0.5,False,True,5,90,0.49281904083560035,0.20420986270282104,-0.1369820856013644,0.8982600298187424,179,0.5154639175257731
10,20,0,0.85,0.35,0.2,0.15,0.5,False,True,5,90,0.49281904083560035,0.20420986270282104,-0.1369820856013644,0.8982600298187424,179,0.5154639175257731
10,20,0,0.85,0.35,0.15,0.15,0.5,False,True,5,95,0.49281904083560035,0.20420986270282104,-0.1369820856013644,0.8982600298187424,179,0.5154639175257731
10,20,0,0.85,0.35,0.15,0.15,0.5,False,True,5,90,0.49281904083560035,0.20420986270282104,-0.1369820856013644,0.8982600298187424,179,0.5154639175257731
10,20,0,0.95,0.4,0.3,0.15,0.5,False,True,5,90,0.49019072763139965,0.20322608856032498,-0.11534442112494786,0.9472968426753239,158,0.5348837209302325
10,20,0,0.9,0.4,0.3,0.15,0.5,False,True,5,95,0.49019072763139965,0.20322608856032498,-0.11534442112494786,0.9472968426753239,158,0.5348837209302325
10,20,0,0.95,0.4,0.2,0.15,0.5,False,True,5,95,0.49019072763139965,0.20322608856032498,-0.11534442112494786,0.9472968426753239,158,0.5348837209302325
10,20,0,0.95,0.4,0.15,0.15,0.5,False,True,5,90,0.49019072763139965,0.20322608856032498,-0.11534442112494786,0.9472968426753239,158,0.5348837209302325
10,20,0,0.9,0.4,0.15,0.15,0.5,False,True,5,95,0.49019072763139965,0.20322608856032498,-0.11534442112494786,0.9472968426753239,158,0.5348837209302325
10,20,0,0.9,0.4,0.2,0.15,0.5,False,True,5,90,0.49019072763139965,0.20322608856032498,-0.11534442112494786,0.9472968426753239,158,0.5348837209302325
10,20,0,0.9,0.4,0.2,0.15,0.5,False,True,5,95,0.49019072763139965,0.20322608856032498,-0.11534442112494786,0.9472968426753239,158,0.5348837209302325
10,20,0,0.95,0.4,0.2,0.15,0.5,False,True,5,90,0.49019072763139965,0.20322608856032498,-0.11534442112494786,0.9472968426753239,158,0.5348837209302325
10,20,0,0.95,0.4,0.15,0.15,0.5,False,True,5,95,0.49019072763139965,0.20322608856032498,-0.11534442112494786,0.9472968426753239,158,0.5348837209302325
10,20,0,0.9,0.4,0.15,0.15,0.5,False,True,5,90,0.49019072763139965,0.20322608856032498,-0.11534442112494786,0.9472968426753239,158,0.5348837209302325
10,20,0,0.95,0.4,0.3,0.15,0.5,False,True,5,95,0.49019072763139965,0.20322608856032498,-0.11534442112494786,0.9472968426753239,158,0.5348837209302325
10,20,0,0.9,0.4,0.3,0.15,0.5,False,True,5,90,0.49019072763139965,0.20322608856032498,-0.11534442112494786,0.9472968426753239,158,0.5348837209302325
10,20,0,0.9,0.35,0.2,0.2,0.5,False,True,5,90,0.48345293843699993,0.20069988525539162,-0.13998319095751832,0.9357340025285755,160,0.5517241379310345
10,20,0,0.9,0.35,0.3,0.2,0.5,False,True,5,95,0.48345293843699993,0.20069988525539162,-0.13998319095751832,0.9357340025285755,160,0.5517241379310345
10,20,0,0.95,0.35,0.2,0.2,0.5,False,True,5,95,0.48345293843699993,0.20069988525539162,-0.13998319095751832,0.9357340025285755,160,0.5517241379310345
10,20,0,0.95,0.35,0.2,0.2,0.5,False,True,5,90,0.48345293843699993,0.20069988525539162,-0.13998319095751832,0.9357340025285755,160,0.5517241379310345
10,20,0,0.95,0.35,0.3,0.2,0.5,False,True,5,95,0.48345293843699993,0.20069988525539162,-0.13998319095751832,0.9357340025285755,160,0.5517241379310345
10,20,0,0.95,0.35,0.3,0.2,0.5,False,True,5,90,0.48345293843699993,0.20069988525539162,-0.13998319095751832,0.9357340025285755,160,0.5517241379310345
10,20,0,0.9,0.35,0.3,0.2,0.5,False,True,5,90,0.48345293843699993,0.20069988525539162,-0.13998319095751832,0.9357340025285755,160,0.5517241379310345
10,20,0,0.9,0.35,0.2,0.2,0.5,False,True,5,95,0.48345293843699993,0.20069988525539162,-0.13998319095751832,0.9357340025285755,160,0.5517241379310345
10,20,0,0.9,0.3,0.15,0.15,0.5,False,True,3,90,0.48097596310840013,0.19976964516700924,-0.12240384014114059,0.913125103387018,192,0.5
10,20,0,0.9,0.3,0.3,0.15,0.5,False,True,3,90,0.48097596310840013,0.19976964516700924,-0.12240384014114059,0.913125103387018,192,0.5
