MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,SELL_COOLDOWN_BARS,STOP_LOSS_PCT,PARTIAL_PROFIT_ENABLED,MACD_BUY_ENABLED,total_return,max_drawdown,sharpe,trades
5,30,0,0.7,0.2,3,0.2,False,True,50.092788792880015,-13.42855930024294,1.0035612704318033,197
5,30,0,0.8,0.25,3,0.12,False,True,49.79380694094,-12.400918748382319,0.9881846591608311,167
5,30,0,0.8,0.25,3,0.2,False,True,49.79380694094,-12.400918748382319,0.9881846591608311,167
5,30,0,0.8,0.25,3,0.15,False,True,49.79380694094,-12.400918748382319,0.9881846591608311,167
5,30,0,0.9,0.25,3,0.12,False,True,49.791374223540004,-12.446668584305193,0.9876345989525104,167
5,30,0,0.9,0.25,3,0.2,False,True,49.791374223540004,-12.446668584305193,0.9876345989525104,167
5,30,0,0.9,0.25,3,0.15,False,True,49.791374223540004,-12.446668584305193,0.9876345989525104,167
5,20,0,0.9,0.25,3,0.15,False,True,49.60792355965998,-11.735210135174306,0.935775021123561,305
5,20,0,0.9,0.25,3,0.2,False,True,49.60792355965998,-11.735210135174306,0.935775021123561,305
5,20,0,0.7,0.25,2,0.2,False,True,48.99348899381999,-9.966090119312163,0.9542051455888777,328
5,20,0,0.7,0.25,2,0.15,False,True,48.99348899381999,-9.966090119312163,0.9542051455888777,328
5,20,0,0.8,0.25,2,0.15,False,True,48.94333012268001,-12.816098178269769,0.9316065102084394,303
5,20,0,0.8,0.25,2,0.2,False,True,48.94333012268001,-12.816098178269769,0.9316065102084394,303
5,30,0,0.7,0.3,2,0.15,False,True,48.84103751674001,-11.726779304830828,0.9344553260664745,175
5,30,0,0.7,0.3,2,0.12,False,True,48.84103751674001,-11.726779304830828,0.9344553260664745,175
5,30,0,0.7,0.3,2,0.2,False,True,48.84103751674001,-11.726779304830828,0.9344553260664745,175
5,30,0,0.7,0.35,3,0.2,False,True,48.74620429816004,-12.26505181699992,0.9125038848162641,166
5,30,0,0.7,0.35,3,0.12,False,True,48.74620429816004,-12.26505181699992,0.9125038848162641,166
5,30,0,0.7,0.35,3,0.15,False,True,48.74620429816004,-12.26505181699992,0.9125038848162641,166
5,20,0,0.9,0.2,3,0.15,False,True,48.73340668338007,-10.948698848149494,0.9384773300360133,327
5,20,0,0.8,0.2,3,0.15,False,True,48.73340668338007,-10.948698848149494,0.9384773300360133,327
5,20,0,0.9,0.2,3,0.2,False,True,48.73340668338007,-10.948698848149494,0.9384773300360133,327
5,20,0,0.8,0.2,3,0.2,False,True,48.73340668338007,-10.948698848149494,0.9384773300360133,327
5,20,0,0.9,0.3,2,0.2,False,True,48.53595038505995,-14.769648816422695,0.8846245870578784,292
5,20,0,0.9,0.3,2,0.15,False,True,48.53595038505995,-14.769648816422695,0.8846245870578784,292
5,30,0,0.7,0.25,3,0.2,False,True,48.23256505093998,-12.540092855091316,0.970580027903128,176
5,30,0,0.7,0.25,3,0.12,False,True,48.23256505093998,-12.540092855091316,0.970580027903128,176
5,30,0,0.7,0.25,3,0.15,False,True,48.23256505093998,-12.540092855091316,0.970580027903128,176
5,20,0,0.9,0.25,2,0.15,False,True,47.51887024010001,-12.850857213238829,0.9091774827846771,305
