MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,MAX_DRAWDOWN_LIMIT,PARTIAL_PROFIT_ENABLED,MACD_BUY_ENABLED,SELL_COOLDOWN_BARS,MACD_SELL_RSI_MIN,RSI_OVERBOUGHT,total_return,annual_return,max_drawdown,sharpe,trades,win_rate
10,20,0,0.9,0.35,0.2,0.2,0.5,False,True,3,95,95,0.5112467013731997,0.21108138065210258,-0.14419377099971908,0.9098846977931434,150,0.4342105263157895
10,20,0,0.9,0.5,0.12,0.3,0.5,False,True,3,90,99,0.5082764289328,0.20997684077345324,-0.15953379099774734,0.8344459540342414,126,0.46774193548387094
10,20,0,0.9,0.5,0.12,0.3,0.5,False,True,3,95,99,0.5082764289328,0.20997684077345324,-0.15953379099774734,0.8344459540342414,126,0.46774193548387094
10,20,0,0.95,0.5,0.12,0.3,0.5,False,True,3,95,99,0.5067233162162006,0.20939882835810297,-0.15953379099774734,0.8323442306127548,122,0.4666666666666667
10,20,0,0.95,0.5,0.12,0.3,0.5,False,True,3,90,99,0.5067233162162006,0.20939882835810297,-0.15953379099774734,0.8323442306127548,122,0.4666666666666667
10,20,0,0.9,0.5,0.12,0.2,0.5,False,True,3,90,92,0.5060194881565995,0.20913678380068346,-0.11928576635175245,0.9174910410378386,136,0.5138888888888888
10,20,0,0.9,0.5,0.12,0.2,0.5,False,True,3,95,92,0.5060194881565995,0.20913678380068346,-0.11928576635175245,0.9174910410378386,136,0.5138888888888888
10,20,0,0.9,0.5,0.15,0.3,0.5,False,True,3,95,99,0.5059040307338001,0.2090937911957904,-0.15953379099774734,0.8308711290625063,124,0.47540983606557374
10,20,0,0.9,0.5,0.15,0.3,0.5,False,True,3,90,99,0.5059040307338001,0.2090937911957904,-0.15953379099774734,0.8308711290625063,124,0.47540983606557374
10,20,0,0.9,0.35,0.12,0.2,0.5,False,True,3,95,92,0.5055800529678001,0.20897314292937308,-0.11454601966991697,0.9331939798826135,149,0.5
