VOL_CONFIRM_RATIO,RSI_BUY_MAX,SURGE_MAX_PCT,SELL_COOLDOWN_BARS,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
0.0,100,0.2,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.3,75,0.3,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.3,75,0.0,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.3,70,0.0,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.0,100,0.0,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.3,70,0.3,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.3,70,0.2,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.3,100,0.0,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.3,85,0.3,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.0,80,0.2,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.0,80,0.3,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.3,100,0.3,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.0,70,0.0,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.0,70,0.2,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.0,85,0.0,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.0,75,0.3,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.0,75,0.2,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.3,100,0.2,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.3,80,0.3,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
